Year,Team,Position,Depth Chart,Name
1991,MIA,LB,ILB,Cliff Odom
1991,BUF,DB,CB,Nate Odomes
1991,MIA,LB,ILB,John Offerdahl
1991,MIA,DL,DE,Alfred Oglesby
1991,KC,RB,RB,Christian Okoye
1991,PHO,DB,DB,Chris Oldham
1991,BUF,DB,DB,Chris Oldham
1991,CLE,RB,RB,Mike Oliphant
1991,MIA,DB,FS,Louis Oliver
1991,PIT,LB,ILB,Jerry Olsavsky
1991,HOU,DB,FS,Bo Orlando
1991,WAS,TE,TE,Terry Orr
1991,DET,RB,RB,Don Overton
1991,DET,DL,DE,Dan Owens
1991,RAM,OL,G,Jeff Pahukoa
1991,KC,WR,WR,Stephone Paige
1991,MIA,RB,FB,Tony Paige
1991,IND,OL,OT,Irvin Pankey
1991,IND,OL,G,Bubba Paris
1991,DET,OL,OT,Bubba Paris
1991,KC,DB,DB,Anthony Parker
1991,BUF,OL,G,Glenn Parker
1991,MIA,OL,OT,James Parrish
1991,BUF,RB,RB,Greg Paterra
1991,RAI,DB,DB,Elvis Patterson
1991,GB,DL,DT,Shawn Patterson
1991,BUF,LB,LB,Marvcus Patton
1991,CHI,DB,S,Markus Paul
1991,GB,LB,LB,Bryce Paup
1991,KC,DB,CB,J.C. Pearson
1991,CLE,WR,WR,Danny Peebles
1991,DET,QB,QB,Rodney Peete
1991,ATL,RB,RB,Erric Pegram
1991,HOU,DL,DE,Willis Peguese
1991,KC,QB,QB,Steve Pelluer
1991,IND,RB,RB,Bruce Perkins
1991,DET,WR,WR,Brett Perriman
1991,RAM,OL,OT,Gerald Perry
1991,CLE,DL,DT,Michael Dean Perry
1991,CHI,DL,DT,William Perry
1991,DEN,RB,RB,Bob Perryman
1991,DET,DL,NT,Lawrence Pete
1991,NO,DB,DB,Stan Petry
1991,KC,DB,DB,Stan Petry
1991,RAM,LB,OLB,Roman Phifer
1991,CLE,QB,QB,Todd Philcox
1991,ATL,WR,WR,Jason Phillips
1991,SD,DL,NT,Joe Phillips
1991,NYJ,DL,DT,Bill Pickel
1991,ATL,DB,CB,Bruce Pickens
1991,BUF,LB,LB,Mark Pike
1991,HOU,RB,RB,Allen Pinkett
1991,PHI,DL,DT,Mike Pitts
1991,CLE,DL,DE,Anthony Pleasant
1991,PHI,DB,DB,Bruce Plummer
1991,SD,LB,ILB,Gary Plummer
1991,SF,OL,OT,Frank Pollack
1991,SF,DB,DB,Darryl Pollard
1991,NE,DB,DB,David Pool
1991,NO,OL,G,Chris Port
1991,KC,DB,S,Kevin Porter
1991,SEA,LB,OLB,Rufus Porter
1991,DEN,DL,DE,Warren Powers
1991,NYJ,DB,DB,Dennis Price
1991,CIN,DB,DB,Mitchell Price
1991,MIA,DL,DE,Terry Price
1991,IND,DB,FS,Mike Prior
1991,ATL,WR,WR,Mike Pritchard
1991,DET,DL,DT,Kelvin Pritchett
1991,PHO,WR,WR,Ricky Proehl
1991,SF,SPEC,P,Joe Prokop
1991,MIA,WR,WR,James Pruitt
1991,DAL,LB,LB,Mickey Pruitt
1991,GB,WR,WR,Jeff Query
1991,ATL,LB,ILB,John Rade
1991,IND,LB,ILB,Scott Radecic
1991,NE,OL,G,Gregg Rakoczy
1991,KC,LB,LB,Ervin Randle
1991,MIN,DL,DE,John Randle
1991,SF,RB,FB,Tom Rathman
1991,MIA,DB,CB,Pat Ray
1991,NYG,LB,ILB,Gary Reasons
1991,ATL,OL,OT,Reggie Redding
1991,BUF,WR,WR,Andre Reed
1991,TB,DB,DB,Daryl Reed
1991,MIN,WR,WR,Jake Reed
1991,PHO,TE,TE,Walter Reeves
1991,BUF,QB,QB,Frank Reich
1991,MIA,LB,ILB,Mike Reichenbach
1991,CIN,OL,G,Bruce Reimers
1991,NE,LB,LB,Johnny Rembert
1991,CIN,WR,WR,Reggie Rembert
1991,MIN,SPEC,K,Fuad Reveiz
1991,NE,LB,LB,Ed Reynolds
1991,TB,DB,CB,Ricky Reynolds
1991,GB,RB,RB,Allen Rice
1991,SF,WR,WR,Jerry Rice
1991,SD,DB,FS,Stanley Richard
1991,DAL,RB,RB,Curvin Richards
1991,SD,OL,G,David Richards
1991,PIT,LB,LB,Huey Richardson
1991,PIT,OL,G,Tom Ricketts
1991,CLE,OL,G,John Rienstra
1991,NYG,OL,OT,Doug Riesenberg
1991,WAS,RB,RB,Gerald Riggs
1991,CIN,TE,TE,Jim Riggs
1991,DET,TE,TE,Eugene Riley
1991,ATL,WR,WR,Andre Rison
1991,BUF,OL,G,Jim Ritcher
1991,CHI,LB,OLB,Ron Rivera
1991,DEN,RB,RB,Reggie Rivers
1991,ATL,OL,OT,Kevin Robbins
1991,DEN,DB,DB,Randy Robbins
1991,PHO,OL,OT,Tootie Robbins
1991,DAL,TE,TE,Alfredo Roberts
1991,SF,DL,DE,Larry Roberts
1991,NYG,OL,G,William Roberts
1991,HOU,DB,DB,Marcus Robertson
1991,SEA,DB,FS,Eugene Robinson
1991,TB,DB,DB,Mark Robinson
1991,MIA,SPEC,P,Reggie Roby
1991,SD,OL,C,Mark Rodenhauser
1991,CIN,DL,DE,Lamar Rogers
1991,BUF,DL,DE,Reggie Rogers
1991,KC,LB,LB,Tracy Rogers
1991,BUF,TE,TE,Butch Rolle
1991,SD,LB,OLB,Henry Rolling
1991,SF,LB,OLB,Bill Romanowski
1991,CHI,LB,OLB,John Roper
1991,PHI,LB,LB,Ken Rose
1991,PHO,QB,QB,Timm Rosenbach
1991,KC,DB,CB,Kevin Ross
1991,NO,LB,LB,Scott Ross
1991,CHI,RB,RB,James Rouse
1991,CLE,RB,RB,Lee Rouson
1991,TB,SPEC,P,Mark Royals
1991,ATL,RB,RB,Mike Rozier
1991,ATL,OL,G,Mike Ruether
1991,GB,OL,OT,Ken Ruettgers
1991,DEN,WR,WR,Derek Russell
1991,NE,RB,RB,Leonard Russell
1991,WAS,QB,QB,Jeff Rutledge
1991,PHI,SPEC,K,Roger Ruzek
1991,PHI,QB,QB,Pat Ryan
1991,TB,OL,G,Tim Ryan
1991,WAS,QB,QB,Mark Rypien
1991,CIN,DL,DT,Rod Saddler
1991,PHO,DL,DT,Rod Saddler
1991,KC,TE,TE,Troy Sadowski
1991,CLE,DL,DE,Pio Sagapolutele
1991,KC,DL,NT,Dan Saleaumua
1991,DEN,OL,OT,Harvey Salem
1991,MIN,QB,QB,Sean Salisbury
1991,ATL,LB,LB,Donnie Salum
1991,DET,RB,RB,Barry Sanders
1991,ATL,DB,CB,Deion Sanders
1991,DET,OL,OT,Eric Sanders
1991,RAM,LB,LB,Glenell Sanders
1991,WAS,WR,WR,Ricky Sanders
1991,PHI,RB,RB,Thomas Sanders
1991,SF,OL,C,Jesse Sapolu
1991,KC,RB,RB,James Saxon
1991,DAL,SPEC,P,Mike Saxon
1991,NO,TE,TE,Greg Scales
