Year,Team,Position,Depth Chart,Name
1970,ATL,DB,DB,Grady Cavness
1970,ATL,DB,SAF,Mike Freeman
1970,ATL,DB,SAF,Al Lavan
1970,ATL,DB,SAF,John Mallory
1970,ATL,DB,SAF,Tom McCauley
1970,ATL,DB,CB,Ken Reaves
1970,ATL,DB,CB,Rudy Redmond
1970,ATL,DL,DT,Glen Condren
1970,ATL,DL,DE,Claude Humphrey
1970,ATL,DL,DT,Greg Lens
1970,ATL,DL,DE,Randy Marshall
1970,ATL,DL,DT,John Small
1970,ATL,DL,DE,Jim Sullivan
1970,ATL,DL,DE,John Zook
1970,ATL,K,K,Ken Vinyard
1970,ATL,LB,OLB,Ron Acks
1970,ATL,LB,OLB,Grady Allen
1970,ATL,LB,LB,Ted Cottrell
1970,ATL,LB,LB,Dean Halverson
1970,ATL,LB,OLB,Don Hansen
1970,ATL,LB,MLB,Tommy Nobis
1970,ATL,OL,OT,Bob Breitenstein
1970,ATL,OL,G,Dick Enderle
1970,ATL,OL,OT,Dave Hettema
1970,ATL,OL,OT,George Kunz
1970,ATL,OL,C,John Matlock
1970,ATL,OL,G,Andy Maurer
1970,ATL,OL,G,Gary Roberts
1970,ATL,OL,OT,Bill Sandeman
1970,ATL,OL,OT,Mal Snider
1970,ATL,OL,C,Jeff Van Note
1970,ATL,QB,QB,Bob Berry
1970,ATL,QB,QB,Randy Johnson
1970,ATL,QB,QB,Billy Lothridge
1970,ATL,RB,RB,Mike Brunson
1970,ATL,RB,RB,Cannonball Butler
1970,ATL,RB,RB,Sonny Campbell
1970,ATL,RB,RB,Paul Gipson
1970,ATL,RB,RB,Art Malone
1970,ATL,RB,RB,Harmon Wages
1970,ATL,TE,TE,Mike Donohoe
1970,ATL,TE,TE,Jim Mitchell
1970,ATL,WR,WR,Gail Cogdill
1970,ATL,WR,WR,Paul Flatley
1970,ATL,WR,WR,Kent Lawrence
1970,ATL,WR,WR,Todd Snyder
1970,BAL,DB,DB,Tom Curtis
1970,BAL,DB,CB,Jim Duncan
1970,BAL,DB,DB,Ron Gardin
1970,BAL,DB,SAF,Jerry Logan
1970,BAL,DB,CB,Tommy Maxwell
1970,BAL,DB,CB,Charlie Stukes
1970,BAL,DB,SAF,Rick Volk
1970,BAL,DL,DT,Jim Bailey
1970,BAL,DL,DE,Roy Hilton
1970,BAL,DL,DT,Fred Miller
1970,BAL,DL,DE,Billy Newsome
1970,BAL,DL,DT,Billy Ray Smith
1970,BAL,DL,DE,Bubba Smith
1970,BAL,DL,DT,George Wright
1970,BAL,LB,MLB,Mike Curtis
1970,BAL,LB,LB,Tom Goode
1970,BAL,LB,OLB,Bob Grant
1970,BAL,LB,OLB,Ted Hendricks
1970,BAL,LB,OLB,Ray May
1970,BAL,LB,LB,Robbie Nichols
1970,BAL,OL,OT,Sam Ball
1970,BAL,OL,C,Bill Curry
1970,BAL,OL,G,Cornelius Johnson
1970,BAL,OL,OT,Dennis Nelson
1970,BAL,OL,G,Glenn Ressler
1970,BAL,OL,OT,Dan Sullivan
1970,BAL,OL,OT,Bob Vogel
1970,BAL,OL,G,John Williams
1970,BAL,P,P,David Lee
1970,BAL,QB,QB,Earl Morrall
1970,BAL,QB,QB,Johnny Unitas
1970,BAL,RB,RB,Norm Bulaich
1970,BAL,RB,RB,Larry Conjar
1970,BAL,RB,RB,Sam Havrilak
1970,BAL,RB,RB,Jerry Hill
1970,BAL,RB,RB,Jack Maitland
1970,BAL,RB,RB,Tom Matte
1970,BAL,RB,FB,Tom Nowatzke
1970,BAL,TE,TE,John Mackey
1970,BAL,TE,TE,Tom Mitchell
1970,BAL,WR,WR,Eddie Hinton
1970,BAL,WR,WR,Roy Jefferson
1970,BAL,WR,WR,Jim O'Brien
1970,BAL,WR,WR,Jimmy Orr
1970,BAL,WR,WR,Ray Perkins
1970,BOS,DB,CB,Randy Beverly
1970,BOS,DB,CB,Larry Carwell
1970,BOS,DB,DB,Tom Janik
1970,BOS,DB,CB,Daryl Johnson
1970,BOS,DB,DB,Art McMahon
1970,BOS,DB,DB,John Outlaw
1970,BOS,DB,SAF,Clarence Scott
1970,BOS,DB,SAF,Don Webb
1970,BOS,DL,DT,Houston Antwine
1970,BOS,DL,DE,Ron Berger
1970,BOS,DL,DT,Jim Hunt
1970,BOS,DL,DE,Ike Lassiter
1970,BOS,DL,DE,Dennis Wirgowski
1970,BOS,DL,DE,Mel Witt
1970,BOS,K,K,Charlie Gogolak
1970,BOS,LB,OLB,Mike Ballou
1970,BOS,LB,OLB,John Bramlett
1970,BOS,LB,MLB,Jim Cheyunski
1970,BOS,LB,LB,Dan Kecman
1970,BOS,LB,OLB,Ed Philpott
1970,BOS,LB,MLB,Marty Schottenheimer
1970,BOS,LB,LB,Fred Whittingham
1970,BOS,LB,LB,J.R. Williamson
1970,BOS,OL,G,Gary Bugenhagen
1970,BOS,OL,OT,Tom Funchess
1970,BOS,OL,OT,Ezell Jones
1970,BOS,OL,G,Angelo Loukas
1970,BOS,OL,OT,Rex Mirich
1970,BOS,OL,OT,Mike Montler
1970,BOS,OL,C,Jon Morris
1970,BOS,OL,OT,Tom Neville
1970,BOS,OL,G,Len St. Jean
1970,BOS,QB,QB,Kim Hammond
1970,BOS,QB,QB,Joe Kapp
1970,BOS,QB,QB,Mike Taliaferro
1970,BOS,RB,RB,Sid Blanks
1970,BOS,RB,RB,Carl Garrett
1970,BOS,RB,RB,Bob Gladieux
1970,BOS,RB,RB,Odell Lawson
1970,BOS,RB,RB,Jim Nance
1970,BOS,RB,RB,Eddie Ray
1970,BOS,TE,TE,Tom Beer
1970,BOS,TE,TE,Barry Brown
1970,BOS,WR,WR,Gino Cappelletti
1970,BOS,WR,WR,Charley Frazier
1970,BOS,WR,WR,Gayle Knief
1970,BOS,WR,WR,Bill Rademacher
1970,BOS,WR,WR,Tom Richardson
1970,BOS,WR,WR,Ron Sellers
1970,BOS,WR,WR,Bake Turner
1970,BUF,DB,DB,Jackie Allen
1970,BUF,DB,CB,Butch Byrd
1970,BUF,DB,CB,Robert James
1970,BUF,DB,DB,Tommy Pharr
1970,BUF,DB,SAF,John Pitts
1970,BUF,DB,SAF,Pete Richardson
1970,BUF,DL,DE,Al Cowlings
1970,BUF,DL,DT,Jim Dunaway
1970,BUF,DL,DT,Waddey Harvey
1970,BUF,DL,DE,Mike McBath
1970,BUF,DL,DE,Ron McDole
1970,BUF,DL,DT,Julian Nunamaker
1970,BUF,DL,DT,Bob Tatarek
1970,BUF,K,K,Grant Guthrie
1970,BUF,LB,LB,Al Andrews
1970,BUF,LB,MLB,Edgar Chandler
1970,BUF,LB,LB,Jerald Collins
1970,BUF,LB,LB,Dick Cunningham
1970,BUF,LB,OLB,Paul Guidry
1970,BUF,LB,LB,Paul Maguire
1970,BUF,LB,OLB,Mike McCaffrey
1970,BUF,LB,OLB,Mike Stratton
1970,BUF,OL,OT,Levert Carr
1970,BUF,OL,G,Richard Cheek
1970,BUF,OL,OT,Paul Costa
1970,BUF,OL,C,Wayne Fowler
1970,BUF,OL,OT,Jerry Gantt
1970,BUF,OL,OT,Howard Kindig
1970,BUF,OL,OT,Art Laster
1970,BUF,OL,C,Frank Marchlewski
1970,BUF,OL,G,Joe O'Donnell
1970,BUF,OL,G,Jim Reilly
1970,BUF,QB,QB,Dan Darragh
1970,BUF,QB,QB,James Harris
1970,BUF,QB,QB,Dennis Shaw
1970,BUF,RB,RB,Bill Enyart
1970,BUF,RB,RB,Bob Gladieux
1970,BUF,RB,RB,Greg Jones
1970,BUF,RB,RB,Lloyd Pate
1970,BUF,RB,RB,Wayne Patrick
1970,BUF,RB,RB,O.J. Simpson
1970,BUF,TE,TE,Austin Denney
1970,BUF,TE,TE,Willie Grate
1970,BUF,TE,TE,Jim McFarland
1970,BUF,TE,TE,Roland Moss
1970,BUF,WR,WR,Glenn Alexander
1970,BUF,WR,WR,Marlin Briscoe
1970,BUF,WR,WR,Clyde Glosson
1970,BUF,WR,WR,Ike Hill
1970,BUF,WR,WR,Haven Moses
1970,CHI,DB,SAF,Phil Clark
1970,CHI,DB,SAF,Dick Daniels
1970,CHI,DB,CB,Butch Davis
1970,CHI,DB,DB,Garry Lyle
1970,CHI,DB,CB,Bennie McRae
1970,CHI,DB,CB,Ron Smith
1970,CHI,DB,CB,Joe Taylor
1970,CHI,DB,CB,Cecil Turner
1970,CHI,DL,DE,Harry Gunner
1970,CHI,DL,DT,Dave Hale
1970,CHI,DL,DE,Willie Holman
1970,CHI,DL,DE,Ed O'Bradovich
1970,CHI,DL,DT,George Seals
1970,CHI,DL,DT,Bill Staley
1970,CHI,K,K,Mac Percival
1970,CHI,LB,LB,Ross Brupbacher
1970,CHI,LB,OLB,Doug Buffone
1970,CHI,LB,MLB,Dick Butkus
1970,CHI,LB,OLB,Lee Roy Caffey
1970,CHI,LB,LB,Jimmy Gunn
1970,CHI,LB,LB,John Neidert
1970,CHI,OL,G,Jim Cadile
1970,CHI,OL,OT,Jeff Curchin
1970,CHI,OL,G,Glen Holloway
1970,CHI,OL,C,Bob Hyland
1970,CHI,OL,OT,Randy Jackson
1970,CHI,OL,OT,Wayne Mass
1970,CHI,OL,G,Howard Mudd
1970,CHI,OL,G,Ted Wheeler
1970,CHI,P,P,Bobby Joe Green
1970,CHI,QB,QB,Jack Concannon
1970,CHI,QB,QB,Bobby Douglass
1970,CHI,QB,QB,Kent Nix
1970,CHI,RB,RB,Craig Baynham
1970,CHI,RB,RB,Ronnie Bull
1970,CHI,RB,RB,Mike Hull
1970,CHI,RB,RB,Ralph Kurek
1970,CHI,RB,RB,Ross Montgomery
1970,CHI,RB,RB,Gale Sayers
1970,CHI,RB,RB,Don Shy
1970,CHI,TE,TE,Rich Coady
1970,CHI,TE,TE,Jim Hester
1970,CHI,TE,TE,Ray Ogden
1970,CHI,TE,TE,Bob Wallace
1970,CHI,WR,WR,Linzy Cole
1970,CHI,WR,WR,George Farmer
1970,CHI,WR,WR,Dick Gordon
1970,CHI,WR,WR,Jim Seymour
1970,CIN,DB,SAF,Al Coleman
1970,CIN,DB,DB,Sandy Durko
1970,CIN,DB,SAF,Ken Dyer
1970,CIN,DB,SAF,Kenny Graham
1970,CIN,DB,DB,John Guillory
1970,CIN,DB,CB,Lemar Parrish
1970,CIN,DB,CB,Ken Riley
1970,CIN,DB,SAF,Fletcher Smith
1970,CIN,DL,DE,Marty Amsler
1970,CIN,DL,DE,Marty Baccaglio
1970,CIN,DL,DE,Royce Berry
1970,CIN,DL,DE,Ron Carpenter
1970,CIN,DL,DT,Steve Chomyszak
1970,CIN,DL,DT,Frank Cornish
1970,CIN,DL,DT,Willie Jones
1970,CIN,DL,DT,Mike Reid
1970,CIN,DL,DE,Nick Roman
1970,CIN,K,K,Horst Muhlmann
1970,CIN,LB,OLB,Ken Avery
1970,CIN,LB,OLB,Al Beauchamp
1970,CIN,LB,MLB,Bill Bergey
1970,CIN,LB,LB,Larry Ely
1970,CIN,LB,LB,Wayne McClure
1970,CIN,LB,OLB,Bill Peterson
1970,CIN,OL,G,Guy Dennis
1970,CIN,OL,OT,Howard Fest
1970,CIN,OL,C,Bob Johnson
1970,CIN,OL,G,Pat Matson
1970,CIN,OL,G,Rufus Mayes
1970,CIN,OL,OT,Mike Wilson
1970,CIN,OL,OT,Ernie Wright
1970,CIN,P,P,Dave Lewis
1970,CIN,QB,QB,Virgil Carter
1970,CIN,QB,QB,Sam Wyche
1970,CIN,RB,RB,Doug Dressler
1970,CIN,RB,RB,Paul Dunn
1970,CIN,RB,RB,Essex Johnson
1970,CIN,RB,RB,Ron Lamb
1970,CIN,RB,RB,Jess Phillips
1970,CIN,RB,RB,Paul Robinson
1970,CIN,TE,TE,Bruce Coslet
1970,CIN,TE,TE,Mike Kelly
1970,CIN,TE,TE,Bob Trumpy
1970,CIN,WR,WR,Eric Crabtree
1970,CIN,WR,WR,Chip Myers
1970,CIN,WR,WR,Speedy Thomas
1970,CLE,DB,CB,Erich Barnes
1970,CLE,DB,CB,Ben Davis
1970,CLE,DB,SAF,Mike Howell
1970,CLE,DB,SAF,Ernie Kellermann
1970,CLE,DB,DB,Tom Schoen
1970,CLE,DB,DB,Ricky Stevenson
1970,CLE,DB,DB,Freddie Summers
1970,CLE,DB,CB,Walt Sumner
1970,CLE,DL,DE,Jack Gregory
1970,CLE,DL,DT,Walter Johnson
1970,CLE,DL,DE,Joe Jones
1970,CLE,DL,DT,Joe Righetti
1970,CLE,DL,DT,Jerry Sherk
1970,CLE,DL,DE,Ron Snidow
1970,CLE,DL,DT,Bill Yanchar
1970,CLE,K,K,Don Cockroft
1970,CLE,LB,OLB,Billy Andrews
1970,CLE,LB,LB,Tom Beutler
1970,CLE,LB,OLB,John Garlington
1970,CLE,LB,OLB,Jim Houston
1970,CLE,LB,LB,Rudy Kuechenberg
1970,CLE,LB,MLB,Dale Lindsey
1970,CLE,LB,MLB,Bob Matheson
1970,CLE,OL,C,Jim Copeland
1970,CLE,OL,G,John Demarie
1970,CLE,OL,G,Gene Hickerson
1970,CLE,OL,C,Fred Hoaglin
1970,CLE,OL,OT,Al Jenkins
1970,CLE,OL,OT,Bob McKay
1970,CLE,OL,C,Chuck Reynolds
1970,CLE,OL,OT,Dick Schafrath
1970,CLE,OL,OT,Joe Taffoni
1970,CLE,QB,QB,Don Gault
1970,CLE,QB,QB,Bill Nelsen
1970,CLE,QB,QB,Mike Phipps
1970,CLE,RB,RB,Ken Brown
1970,CLE,RB,RB,Steve Engel
1970,CLE,RB,RB,Leroy Kelly
1970,CLE,RB,RB,Randy Minnear
1970,CLE,RB,RB,Reece Morrison
1970,CLE,RB,RB,Bo Scott
1970,CLE,TE,TE,Chip Glass
1970,CLE,TE,TE,Milt Morin
1970,CLE,WR,WR,Gary Collins
1970,CLE,WR,WR,Fair Hooker
1970,CLE,WR,WR,Dave Jones
1970,CLE,WR,WR,Homer Jones
1970,DAL,DB,CB,Herb Adderley
1970,DAL,DB,SAF,Richmond Flowers
1970,DAL,DB,SAF,Cornell Green
1970,DAL,DB,SAF,Cliff Harris
1970,DAL,DB,CB,Mel Renfro
1970,DAL,DB,DB,Mark Washington
1970,DAL,DB,SAF,Charlie Waters
1970,DAL,DL,DE,George Andrie
1970,DAL,DL,DE,Larry Cole
1970,DAL,DL,DE,Ron East
1970,DAL,DL,DE,Halvor Hagen
1970,DAL,DL,DT,Bob Lilly
1970,DAL,DL,DT,Jethro Pugh
1970,DAL,DL,DE,Pat Toomay
1970,DAL,K,K,Mike Clark
1970,DAL,LB,OLB,Dave Edwards
1970,DAL,LB,OLB,Chuck Howley
1970,DAL,LB,MLB,Lee Roy Jordan
1970,DAL,LB,LB,Steve Kiner
1970,DAL,LB,OLB,D.D. Lewis
1970,DAL,LB,LB,Tom Stincic
1970,DAL,OL,OT,Bob Asher
1970,DAL,OL,OT,Tony Liscio
1970,DAL,OL,C,Dave Manders
1970,DAL,OL,OT,Ralph Neely
1970,DAL,OL,G,John Niland
1970,DAL,OL,G,Blaine Nye
1970,DAL,OL,OT,Rayfield Wright
1970,DAL,P,P,Ron Widby
1970,DAL,QB,QB,Bob Belden
1970,DAL,QB,QB,Craig Morton
1970,DAL,QB,QB,Roger Staubach
1970,DAL,RB,RB,Walt Garrison
1970,DAL,RB,RB,Calvin Hill
1970,DAL,RB,RB,Dan Reeves
1970,DAL,RB,RB,Duane Thomas
1970,DAL,RB,RB,Claxton Welch
1970,DAL,TE,TE,Mike Ditka
1970,DAL,TE,TE,Pettis Norman
1970,DAL,WR,WR,Margene Adkins
1970,DAL,WR,WR,Bob Hayes
1970,DAL,WR,WR,Dennis Homan
1970,DAL,WR,WR,Lance Rentzel
1970,DAL,WR,WR,Reggie Rucker
1970,DEN,DB,DB,Booker Edgerson
1970,DEN,DB,DB,Drake Garrett
1970,DEN,DB,CB,Cornell Gordon
1970,DEN,DB,SAF,Charlie Greer
1970,DEN,DB,CB,Pete Jaquess
1970,DEN,DB,SAF,Paul Martha
1970,DEN,DB,DB,Alvin Mitchell
1970,DEN,DB,SAF,George Saimes
1970,DEN,DB,CB,Bill Thompson
1970,DEN,DB,CB,Bob Wade
1970,DEN,DL,DT,Walt Barnes
1970,DEN,DL,DT,Dave Costa
1970,DEN,DL,DE,Pete Duranko
1970,DEN,DL,DE,Rich Jackson
1970,DEN,DL,DE,Alden Roche
1970,DEN,DL,DT,Paul Smith
1970,DEN,K,K,Bobby Howfield
1970,DEN,LB,LB,Bill Butler
1970,DEN,LB,MLB,Ken Criter
1970,DEN,LB,OLB,Carl Cunningham
1970,DEN,LB,MLB,Fred Forsberg
1970,DEN,LB,OLB,Jerry Inman
1970,DEN,LB,LB,Bill McKoy
1970,DEN,LB,OLB,Chip Myrtle
1970,DEN,LB,OLB,Dave Washington
1970,DEN,OL,OT,Steve Alexakos
1970,DEN,OL,OT,Jay Bachman
1970,DEN,OL,OT,Sam Brunelli
1970,DEN,OL,OT,Mike Current
1970,DEN,OL,G,George Goeddeke
1970,DEN,OL,C,Larry Kaminski
1970,DEN,OL,G,Mike Schnitker
1970,DEN,OL,G,Bob Young
1970,DEN,QB,QB,Pete Liske
1970,DEN,QB,QB,Al Pastrana
1970,DEN,QB,QB,Steve Tensi
1970,DEN,RB,RB,Bobby Anderson
1970,DEN,RB,RB,Willis Crenshaw
1970,DEN,RB,RB,Dick Davis
1970,DEN,RB,RB,Floyd Little
1970,DEN,RB,RB,Fran Lynch
1970,DEN,RB,RB,Clem Turner
1970,DEN,RB,RB,Wandy Williams
1970,DEN,TE,TE,Billy Masters
1970,DEN,TE,TE,Jim Whalen
1970,DEN,WR,WR,Al Denson
1970,DEN,WR,WR,John Embree
1970,DEN,WR,WR,Mike Haffner
1970,DEN,WR,WR,Jerry Hendren
1970,DEN,WR,WR,Billy Van Heusen
1970,DET,DB,CB,Lem Barney
1970,DET,DB,CB,Dick LeBeau
1970,DET,DB,SAF,Wayne Rasmussen
1970,DET,DB,SAF,Tom Vaughn
1970,DET,DB,SAF,Mike Weger
1970,DET,DB,DB,Bobby Williams
1970,DET,DL,DT,Dan Goich
1970,DET,DL,DE,Larry Hand
1970,DET,DL,DT,Dave Haverdick
1970,DET,DL,DT,Alex Karras
1970,DET,DL,DE,Jim Mitchell
1970,DET,DL,DE,Joe Robb
1970,DET,DL,DT,Jerry Rush
1970,DET,K,K,Errol Mann
1970,DET,LB,MLB,Mike Lucci
1970,DET,LB,LB,Terry Miller
1970,DET,LB,LB,Ed Mooney
1970,DET,LB,OLB,Paul Naumoff
1970,DET,LB,LB,Bill Saul
1970,DET,LB,OLB,Wayne Walker
1970,DET,OL,G,Bill Cottrell
1970,DET,OL,C,Ed Flanagan
1970,DET,OL,OT,Rocky Freitas
1970,DET,OL,G,Frank Gallagher
1970,DET,OL,G,Bob Kowalkowski
1970,DET,OL,G,Rocky Rasley
1970,DET,OL,OT,Roger Shoals
1970,DET,OL,G,Chuck Walton
1970,DET,OL,OT,Jim Yarbrough
1970,DET,P,P,Herman Weaver
1970,DET,QB,QB,Greg Landry
1970,DET,QB,QB,Bill Munson
1970,DET,RB,RB,Nick Eddy
1970,DET,RB,RB,Mel Farr
1970,DET,RB,RB,Bruce Maxwell
1970,DET,RB,RB,Steve Owens
1970,DET,RB,RB,Altie Taylor
1970,DET,RB,RB,Bill Triplett
1970,DET,TE,TE,Craig Cotton
1970,DET,TE,TE,Charlie Sanders
1970,DET,WR,WR,Charlie Brown
1970,DET,WR,WR,Chuck Hughes
1970,DET,WR,WR,Earl McCullouch
1970,DET,WR,WR,Phil Odle
1970,DET,WR,WR,Larry Walton
1970,GB,DB,CB,Ken Ellis
1970,GB,DB,DB,Lee Harden
1970,GB,DB,S,Doug Hart
1970,GB,DB,DB,Ervin Hunt
1970,GB,DB,CB,Bob Jeter
1970,GB,DB,DB,Al Matthews
1970,GB,DB,FS,Willie Wood
1970,GB,DL,DE,Lionel Aldridge
1970,GB,DL,DE,Marty Amsler
1970,GB,DL,DE,Bob Brown
1970,GB,DL,DT,Kevin Hardy
1970,GB,DL,DT,Mike McCoy
1970,GB,DL,DT,Rich Moore
1970,GB,DL,DE,Clarence Williams
1970,GB,K,K,Dale Livingston
1970,GB,LB,OLB,Fred Carr
1970,GB,LB,OLB,Jim Carter
1970,GB,LB,LB,Jim Flanigan
1970,GB,LB,LB,Rudy Kuechenberg
1970,GB,LB,MLB,Ray Nitschke
1970,GB,LB,OLB,Dave Robinson
1970,GB,LB,LB,Cleo Walker
1970,GB,OL,C,Ken Bowman
1970,GB,OL,G,Dave Bradley
1970,GB,OL,G,Gale Gillingham
1970,GB,OL,OT,Forrest Gregg
1970,GB,OL,OT,Bill Hayhoe
1970,GB,OL,OT,Dick Himes
1970,GB,OL,G,Bill Lueck
1970,GB,OL,OT,Francis Peay
1970,GB,OL,C,Malcolm Walker
1970,GB,QB,QB,Don Horn
1970,GB,QB,QB,Rick Norton
1970,GB,QB,QB,Frank Patrick
1970,GB,QB,QB,Bart Starr
1970,GB,RB,RB,Donny Anderson
1970,GB,RB,RB,Jim Grabowski
1970,GB,RB,RB,Dave Hampton
1970,GB,RB,RB,Larry Krause
1970,GB,RB,RB,Perry Williams
1970,GB,RB,RB,Travis Williams
1970,GB,TE,TE,John Hilton
1970,GB,TE,TE,Rich McGeorge
1970,GB,WR,WR,Mike Carter
1970,GB,WR,WR,Jack Clancy
1970,GB,WR,WR,Carroll Dale
1970,GB,WR,WR,John Spilis
1970,HOU,DB,CB,Bob Atkins
1970,HOU,DB,S,Ken Houston
1970,HOU,DB,DB,Benny Johnson
1970,HOU,DB,CB,Leroy Mitchell
1970,HOU,DB,CB,Zeke Moore
1970,HOU,DB,FS,Johnny Peacock
1970,HOU,DL,DE,Elvin Bethea
1970,HOU,DL,DT,Lee Brooks
1970,HOU,DL,DT,Tom Domres
1970,HOU,DL,DE,Pat Holmes
1970,HOU,DL,DT,Spain Musgrove
1970,HOU,DL,DT,Willie Parker
1970,HOU,K,K,Roy Gerela
1970,HOU,LB,MLB,Garland Boyette
1970,HOU,LB,LB,Claude Harvey
1970,HOU,LB,LB,Jess Lewis
1970,HOU,LB,OLB,Ron Pritchard
1970,HOU,LB,OLB,Olen Underwood
1970,HOU,LB,MLB,Loyd Wainscott
1970,HOU,LB,OLB,George Webster
1970,HOU,OL,C,Hank Autry
1970,HOU,OL,G,Elbert Drungo
1970,HOU,OL,G,Ken Gray
1970,HOU,OL,OT,Glen Ray Hines
1970,HOU,OL,C,Bobby Maples
1970,HOU,OL,G,Tom Regner
1970,HOU,OL,G,Ron Saul
1970,HOU,OL,OT,Walt Suggs
1970,HOU,OL,G,Doug Wilkerson
1970,HOU,P,P,Spike Jones
1970,HOU,QB,QB,Charley Johnson
1970,HOU,QB,QB,Bob Naponic
1970,HOU,QB,QB,Jerry Rhome
1970,HOU,RB,RB,Woody Campbell
1970,HOU,RB,RB,Joe Dawkins
1970,HOU,RB,RB,Hoyle Granger
1970,HOU,RB,RB,Roy Hopkins
1970,HOU,RB,RB,Mike Richardson
1970,HOU,RB,RB,Tom Smiley
1970,HOU,TE,TE,Alvin Reed
1970,HOU,TE,TE,Terry Stoepel
1970,HOU,WR,WR,Jim Beirne
1970,HOU,WR,WR,Donnie Davis
1970,HOU,WR,WR,Mac Haik
1970,HOU,WR,WR,Charlie Joiner
1970,HOU,WR,WR,Jerry LeVias
1970,HOU,WR,WR,Paul Zaeske
1970,KC,DB,DB,Ceasar Belser
1970,KC,DB,DB,David Hadley
1970,KC,DB,SAF,Jim Kearney
1970,KC,DB,CB,Jim Marsalis
1970,KC,DB,DB,Willie Mitchell
1970,KC,DB,SAF,Johnny Robinson
1970,KC,DB,CB,Emmitt Thomas
1970,KC,DL,DE,Aaron Brown
1970,KC,DL,DT,Buck Buchanan
1970,KC,DL,DT,Curley Culp
1970,KC,DL,DE,Chuck Hurston
1970,KC,DL,DE,Bob Liggett
1970,KC,DL,DE,Jerry Mays
1970,KC,DL,DE,Bob Stein
1970,KC,DL,DE,Marv Upshaw
1970,KC,K,K,Jan Stenerud
1970,KC,LB,OLB,Bobby Bell
1970,KC,LB,MLB,Willie Lanier
1970,KC,LB,OLB,Jim Lynch
1970,KC,LB,LB,Clyde Werner
1970,KC,OL,G,Ed Budde
1970,KC,OL,G,George Daney
1970,KC,OL,OT,Dave Hill
1970,KC,OL,C,E.J. Holub
1970,KC,OL,G,Mo Moorman
1970,KC,OL,C,Mike Oriard
1970,KC,OL,C,Jack Rudnay
1970,KC,OL,OT,Sid Smith
1970,KC,OL,OT,Jim Tyrer
1970,KC,P,P,Jerrel Wilson
1970,KC,QB,QB,Len Dawson
1970,KC,QB,QB,John Huarte
1970,KC,QB,QB,Mike Livingston
1970,KC,RB,RB,Mike Garrett
1970,KC,RB,RB,Wendell Hayes
1970,KC,RB,RB,Robert Holmes
1970,KC,RB,RB,Warren McVea
1970,KC,RB,RB,Ed Podolak
1970,KC,TE,TE,Fred Arbanas
1970,KC,TE,TE,Billy Cannon
1970,KC,TE,TE,Morris Stroud
1970,KC,WR,WR,Jimmy Hines
1970,KC,WR,WR,Frank Pitts
1970,KC,WR,WR,Lew Porter
1970,KC,WR,WR,Gloster Richardson
1970,KC,WR,WR,Otis Taylor
1970,LA,DB,CB,Kermit Alexander
1970,LA,DB,DB,Alvin Haymond
1970,LA,DB,SAF,Ed Meador
1970,LA,DB,CB,Jim Nettles
1970,LA,DB,SAF,Richie Petitbon
1970,LA,DB,DB,Nate Shaw
1970,LA,DB,CB,Clancy Williams
1970,LA,DL,DE,Coy Bacon
1970,LA,DL,DE,Rick Cash
1970,LA,DL,DT,Dick Evey
1970,LA,DL,DE,Deacon Jones
1970,LA,DL,DE,Clark Miller
1970,LA,DL,DT,Merlin Olsen
1970,LA,DL,DT,Diron Talbert
1970,LA,K,K,David Ray
1970,LA,LB,OLB,Maxie Baughan
1970,LA,LB,OLB,Jack Pardee
1970,LA,LB,LB,John Pergine
1970,LA,LB,MLB,Myron Pottios
1970,LA,LB,OLB,Jim Purnell
1970,LA,LB,LB,Jack Reynolds
1970,LA,OL,OT,Bob Brown
1970,LA,OL,C,George Burman
1970,LA,OL,OT,Charley Cowan
1970,LA,OL,C,Ken Iman
1970,LA,OL,OT,Mitch Johnson
1970,LA,OL,G,Tom Mack
1970,LA,OL,C,Rich Saul
1970,LA,OL,G,Joe Scibelli
1970,LA,OL,G,John Wilbur
1970,LA,QB,QB,Roman Gabriel
1970,LA,QB,QB,Karl Sweetan
1970,LA,RB,FB,Pat Curran
1970,LA,RB,RB,Willie Ellison
1970,LA,RB,RB,Jeff Jordan
1970,LA,RB,RB,Les Josephson
1970,LA,RB,RB,Tommy Mason
1970,LA,RB,RB,Elijah Pitts
1970,LA,RB,RB,Larry Smith
1970,LA,TE,TE,Bob Klein
1970,LA,TE,TE,Billy Truax
1970,LA,WR,WR,Bob Long
1970,LA,WR,WR,Jack Snow
1970,LA,WR,WR,Pat Studstill
1970,LA,WR,WR,Wendell Tucker
1970,LA,WR,WR,Donnie Williams
1970,MIA,DB,SAF,Dick Anderson
1970,MIA,DB,DB,Dean Brown
1970,MIA,DB,DB,Tim Foley
1970,MIA,DB,CB,Curtis Johnson
1970,MIA,DB,CB,Lloyd Mumphord
1970,MIA,DB,DB,Bob Petrella
1970,MIA,DB,SAF,Jake Scott
1970,MIA,DL,DT,Frank Cornish
1970,MIA,DL,DT,Manny Fernandez
1970,MIA,DL,DT,Bob Heinz
1970,MIA,DL,DE,Norm McBride
1970,MIA,DL,DT,John Richardson
1970,MIA,DL,DE,Jim Riley
1970,MIA,DL,DE,Bill Stanfill
1970,MIA,K,K,Karl Kremser
1970,MIA,K,K,Garo Yepremian
1970,MIA,LB,MLB,Nick Buoniconti
1970,MIA,LB,OLB,Ted Davis
