Year,Team,FR TD,SFTY,INT TD
1981,Patriots,0,0,0
1981,Saints,0,0,0
1981,Jets,0,1,2
1981,Cardinals,0,0,1
1981,Steelers,0,0,1
1981,Chargers,0,0,1
1981,Redskins,0,0,2
1982,Falcons,1,0,0
1982,Cowboys,1,0,1
1982,Packers,1,0,0
1982,Oilers,1,0,0
1982,Raiders,1,0,3
1982,Vikings,1,1,1
1982,Eagles,1,0,1
1982,Bills,0,0,0
1982,Bears,0,1,1
1982,Bengals,0,1,2
1982,Browns,0,0,1
1982,Broncos,0,2,0
1982,Lions,0,0,1
1982,Colts,0,0,1
1982,Chiefs,0,0,3
1982,Rams,0,0,0
1982,Dolphins,0,0,2
1982,Patriots,0,1,1
1982,Saints,0,0,0
1982,Giants,0,1,1
1982,Jets,0,0,1
1982,Cardinals,0,0,0
1982,Steelers,0,1,0
1982,Chargers,0,2,0
1982,49ers,0,0,1
1982,Seahawks,0,0,1
1982,Buccaneers,0,0,0
1982,Redskins,0,0,0
1983,Cardinals,3,1,0
1983,Steelers,3,1,4
1983,Falcons,2,0,2
1983,Cowboys,2,1,2
1983,Packers,2,1,1
1983,Colts,2,1,1
1983,Seahawks,2,0,2
1983,Redskins,2,1,1
1983,Bills,1,0,1
1983,Bears,1,0,2
1983,Bengals,1,0,4
1983,Broncos,1,1,0
1983,Chiefs,1,0,2
1983,Raiders,1,2,2
1983,Vikings,1,2,0
1983,Giants,1,1,1
1983,Jets,1,0,3
1983,49ers,1,0,5
1983,Buccaneers,1,0,3
1983,Browns,0,0,2
1983,Lions,0,3,0
1983,Oilers,0,0,0
1983,Rams,0,2,3
1983,Dolphins,0,1,3
1983,Patriots,0,0,1
1983,Saints,0,0,3
1983,Eagles,0,1,0
1983,Chargers,0,0,1
1984,Broncos,4,0,4
1984,Bills,2,0,0
1984,Vikings,2,0,1
1984,Jets,2,1,0
1984,Steelers,2,0,4
1984,Redskins,2,0,4
1984,Cowboys,1,1,2
1984,Oilers,1,0,0
1984,Raiders,1,2,2
1984,Dolphins,1,0,2
1984,Saints,1,0,3
1984,Giants,1,0,0
1984,Cardinals,1,0,1
1984,49ers,1,1,2
1984,Seahawks,1,1,7
1984,Falcons,0,2,1
1984,Bears,0,1,1
1984,Bengals,0,1,4
1984,Browns,0,0,0
1984,Lions,0,0,0
1984,Packers,0,0,2
1984,Colts,0,1,1
1984,Chiefs,0,0,2
1984,Rams,0,3,3
1984,Patriots,0,1,0
1984,Eagles,0,0,0
1984,Chargers,0,0,4
1984,Buccaneers,0,0,1
1985,Patriots,3,2,1
1985,49ers,3,1,1
1985,Saints,2,0,2
1985,Falcons,1,0,1
1985,Bills,1,0,0
1985,Bears,1,3,4
1985,Packers,1,1,2
1985,Colts,1,1,0
1985,Chiefs,1,0,1
1985,Dolphins,1,0,1
1985,Vikings,1,1,1
1985,Jets,1,1,1
1985,Seahawks,1,1,3
1985,Bengals,0,1,2
1985,Browns,0,0,1
1985,Cowboys,0,0,4
1985,Broncos,0,0,1
1985,Lions,0,0,0
1985,Oilers,0,0,0
1985,Rams,0,1,4
1985,Raiders,0,1,3
1985,Giants,0,0,2
1985,Eagles,0,1,2
1985,Cardinals,0,1,1
1985,Steelers,0,0,1
1985,Chargers,0,0,2
1985,Buccaneers,0,0,0
1985,Redskins,0,1,0
1986,Falcons,2,1,2
1986,Broncos,2,2,2
1986,Oilers,2,0,0
1986,Patriots,2,1,1
1986,Buccaneers,2,0,0
1986,Bills,1,0,0
1986,Bears,1,2,1
1986,Bengals,1,1,1
1986,Browns,1,0,0
1986,Chiefs,1,0,4
1986,Rams,1,1,3
1986,Raiders,1,1,1
1986,Redskins,1,0,0
1986,Cowboys,0,0,1
1986,Lions,0,0,0
1986,Packers,0,0,1
1986,Colts,0,1,0
1986,Dolphins,0,0,0
1986,Vikings,0,0,2
1986,Saints,0,0,1
1986,Giants,0,0,1
1986,Jets,0,1,0
1986,Eagles,0,1,0
1986,Cardinals,0,0,0
1986,Steelers,0,1,1
1986,Chargers,0,1,1
1986,49ers,0,0,5
1986,Seahawks,0,0,1
1987,Cardinals,4,0,1
1987,Bills,3,2,0
1987,Browns,2,0,2
1987,Dolphins,2,0,0
1987,Eagles,2,1,0
1987,Steelers,2,1,5
1987,Buccaneers,2,0,2
1987,Falcons,1,1,0
1987,Lions,1,1,1
1987,Oilers,1,1,1
1987,Colts,1,1,0
1987,Chiefs,1,0,0
1987,Rams,1,1,2
1987,Patriots,1,0,2
1987,Jets,1,1,0
1987,Chargers,1,2,2
1987,Redskins,1,0,1
1987,Bears,0,0,2
1987,Bengals,0,1,0
1987,Cowboys,0,0,2
1987,Broncos,0,1,2
1987,Packers,0,0,0
1987,Raiders,0,0,2
