PLAYER,SEASON,FGBLK,FGLNG,FGATT,FGM,FGPCT,XPATT,XPM,XPPCT,XPBLK,KO,KOAVG,TB,RET,AVGRET
Garo Yepremian,1967,1.0,33.0,6.0,2.0,33.3,23.0,22.0,92.9,0.0,2.0,0.0,0.0,0.0,
Garo Yepremian,1970,0.0,47.0,31.0,22.0,62.8,33.0,33.0,100.0,0.0,69.0,3.1,13.0,0.0,
Garo Yepremian,1971,2.0,48.0,45.0,31.0,70.3,39.0,39.0,100.0,0.0,87.0,9.1,20.0,2.0,17.0
Garo Yepremian,1972,4.0,54.0,42.0,26.0,60.4,52.0,50.0,96.9,2.0,95.0,9.8,30.0,3.0,15.0
Garo Yepremian,1973,2.0,53.0,42.0,30.0,68.6,48.0,48.0,100.0,0.0,95.0,10.6,30.0,4.0,17.2
Garo Yepremian,1974,1.0,46.0,17.0,10.0,62.1,46.0,45.0,97.8,1.0,70.0,3.7,0.0,0.0,
Garo Yepremian,1975,0.0,40.0,16.0,13.0,83.3,46.0,40.0,87.5,4.0,73.0,0.0,8.0,0.0,
Garo Yepremian,1976,1.0,53.0,23.0,16.0,67.4,31.0,29.0,92.3,1.0,62.0,0.0,3.0,0.0,
Garo Yepremian,1977,2.0,48.0,22.0,10.0,45.2,40.0,37.0,93.8,0.0,13.0,0.0,0.0,0.0,
Garo Yepremian,1978,0.0,49.0,24.0,19.0,75.0,46.0,42.0,91.7,4.0,57.0,4.3,2.0,0.0,
Garo Yepremian,1979,1.0,44.0,16.0,12.0,74.2,40.0,39.0,97.9,0.0,64.0,0.0,1.0,0.0,
Garo Yepremian,1980,2.0,43.0,23.0,16.0,68.0,32.0,31.0,98.3,1.0,63.0,0.0,0.0,0.0,
Garo Yepremian,1981,1.0,44.0,4.0,2.0,50.0,6.0,6.0,100.0,0.0,11.0,59.9,0.0,11.0,20.3
Garrett Hartley,2008,0.0,47.0,13.0,13.0,100.0,28.0,28.0,100.0,0.0,49.0,65.1,9.0,39.0,25.6
Garrett Hartley,2009,0.0,54.0,20.0,16.0,83.0,27.0,26.0,96.7,0.0,14.0,64.1,2.0,12.0,18.7
Garrett Hartley,2010,0.0,52.0,36.0,31.0,84.2,55.0,55.0,100.0,0.0,59.0,61.9,8.0,46.0,26.3
Garrett Hartley,2011,0.0,47.0,2.0,2.0,100.0,8.0,8.0,100.0,0.0,2.0,66.0,1.0,1.0,20.0
Garrett Hartley,2012,0.0,53.0,29.0,24.0,85.3,63.0,63.0,100.0,0.0,2.0,12.0,0.0,0.0,
Garrett Hartley,2013,1.0,55.0,37.0,28.0,72.1,52.0,52.0,100.0,0.0,11.0,55.2,1.0,9.0,35.6
Garrett Hartley,2014,0.0,43.0,3.0,3.0,100.0,2.0,2.0,100.0,0.0,2.0,61.5,0.0,2.0,22.0
Gary Anderson,1982,1.0,48.0,12.0,10.0,85.0,26.0,26.0,100.0,0.0,48.0,63.6,9.0,36.0,23.0
Gary Anderson,1983,2.0,49.0,32.0,28.0,90.6,40.0,39.0,97.9,1.0,84.0,62.6,15.0,65.0,23.0
Gary Anderson,1984,1.0,55.0,37.0,25.0,69.3,52.0,52.0,100.0,0.0,95.0,61.9,27.0,61.0,20.8
Gary Anderson,1985,0.0,52.0,42.0,33.0,75.7,40.0,40.0,100.0,0.0,89.0,61.6,22.0,65.0,25.0
Gary Anderson,1986,1.0,45.0,32.0,21.0,66.2,32.0,32.0,100.0,0.0,72.0,61.8,15.0,56.0,23.6
Gary Anderson,1987,1.0,52.0,27.0,22.0,82.6,21.0,21.0,100.0,0.0,55.0,58.4,4.0,51.0,17.1
Gary Anderson,1988,3.0,52.0,36.0,28.0,65.7,35.0,34.0,98.7,0.0,80.0,59.5,15.0,62.0,22.0
Gary Anderson,1989,0.0,50.0,37.0,28.0,77.4,32.0,32.0,100.0,0.0,76.0,61.1,18.0,51.0,20.3
Gary Anderson,1990,0.0,48.0,25.0,20.0,73.2,32.0,32.0,100.0,0.0,69.0,60.7,13.0,54.0,22.0
Gary Anderson,1991,1.0,54.0,33.0,23.0,68.8,31.0,31.0,100.0,0.0,69.0,63.0,25.0,43.0,18.6
Gary Anderson,1992,3.0,49.0,37.0,29.0,77.6,31.0,29.0,94.4,1.0,74.0,60.4,15.0,54.0,18.6
Gary Anderson,1993,0.0,46.0,31.0,29.0,92.2,35.0,35.0,100.0,0.0,82.0,61.7,19.0,60.0,20.4
Gary Anderson,1994,0.0,50.0,33.0,28.0,87.5,36.0,36.0,100.0,0.0,81.0,58.7,1.0,77.0,22.0
Gary Anderson,1995,1.0,43.0,35.0,26.0,60.9,40.0,39.0,92.3,0.0,85.0,61.0,10.0,72.0,25.3
