PLAYER,SEASON,PUNTS,YDS,NETYDS,LNG,AVG,NETAVG,BLK,OOB,DN,IN20,TB,FC,RET,RETY,TD
John James,1977,105.0,4349.0,3570.0,61.0,41.5,34.1,0.0,15.0,14.0,19.0,13.0,5.0,58.0,519.0,0.0
John James,1978,123.0,4684.0,4100.0,57.0,37.8,33.2,1.0,13.0,16.0,25.0,11.0,21.0,61.0,364.0,0.0
John James,1979,84.0,3296.0,2957.0,62.0,39.7,35.5,1.0,5.0,7.0,12.0,4.0,26.0,41.0,259.0,0.0
John James,1980,83.0,3231.0,2855.0,59.0,39.2,35.0,0.0,5.0,13.0,27.0,7.0,20.0,38.0,236.0,0.0
John James,1981,88.0,3543.0,2866.0,62.0,40.6,33.7,1.0,4.0,9.0,13.0,5.0,10.0,59.0,577.0,2.0
John James,1982,86.0,3482.0,2932.0,56.0,40.6,34.3,0.0,6.0,8.0,14.0,8.0,10.0,54.0,390.0,0.0
John James,1983,80.0,3136.0,2622.0,53.0,39.9,33.4,1.0,6.0,3.0,12.0,8.0,15.0,47.0,354.0,0.0
John James,1984,88.0,3482.0,2764.0,55.0,39.8,31.0,0.0,11.0,3.0,20.0,5.0,9.0,60.0,618.0,0.0
John Jett,1993,67.0,2812.0,2470.0,59.0,42.9,36.8,0.0,1.0,11.0,25.0,5.0,14.0,36.0,242.0,0.0
John Jett,1994,75.0,3141.0,2640.0,58.0,40.8,34.1,0.0,5.0,13.0,28.0,5.0,14.0,38.0,401.0,0.0
John Jett,1995,67.0,2710.0,2274.0,58.0,41.1,33.3,1.0,6.0,11.0,19.0,7.0,12.0,30.0,296.0,0.0
John Jett,1996,78.0,3346.0,2892.0,60.0,43.1,37.2,0.0,1.0,9.0,23.0,9.0,24.0,35.0,274.0,0.0
John Jett,1997,90.0,3728.0,3206.0,60.0,41.8,36.3,2.0,2.0,9.0,25.0,4.0,20.0,53.0,442.0,1.0
John Jett,1998,66.0,2892.0,2374.0,60.0,43.6,35.3,0.0,3.0,2.0,17.0,6.0,17.0,38.0,398.0,1.0
John Jett,1999,93.0,3933.0,3273.0,62.0,41.9,34.7,0.0,3.0,10.0,32.0,12.0,24.0,44.0,420.0,0.0
