PLAYER,SEASON,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
Paul Hogan,1926,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Paul Hogan,1927,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Paul Hornung,1957,60.0,319.0,4.4,72.0,3.0,6.0,34.0,3.6,16.0,0.0,2.0,0.0
Paul Hornung,1958,69.0,310.0,3.7,55.0,2.0,15.0,137.0,7.1,39.0,0.0,1.0,0.0
Paul Hornung,1959,152.0,681.0,4.2,63.0,7.0,15.0,113.0,6.9,19.0,0.0,7.0,0.0
Paul Hornung,1960,171.0,732.0,4.2,37.0,13.0,32.0,271.0,9.3,33.0,2.0,3.0,0.0
Paul Hornung,1961,147.0,686.0,5.0,54.0,9.0,18.0,192.0,11.1,34.0,2.0,2.0,0.0
Paul Hornung,1962,65.0,254.0,4.0,37.0,5.0,9.0,168.0,17.1,83.0,2.0,1.0,0.0
Paul Hornung,1964,103.0,415.0,3.8,40.0,5.0,9.0,98.0,9.6,40.0,0.0,4.0,0.0
Paul Hornung,1965,117.0,437.0,3.0,34.0,7.0,24.0,386.0,14.1,65.0,3.0,3.0,1.0
Paul Hornung,1966,76.0,200.0,2.7,9.0,2.0,14.0,192.0,11.3,44.0,3.0,1.0,0.0
Paul Kittredge,1929,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Paul Kuczo,1929,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Paul Lasike,2016,7.0,21.0,3.0,5.0,0.0,2.0,28.0,14.0,25.0,0.0,0.0,0.0
Paul Lowe,1960,157.0,1020.0,5.7,66.0,9.0,26.0,382.0,14.5,6.0,2.0,2.0,0.0
Paul Lowe,1961,180.0,797.0,4.4,87.0,9.0,18.0,113.0,6.1,32.0,0.0,1.0,0.0
Paul Lowe,1963,189.0,1104.0,5.4,66.0,9.0,26.0,191.0,8.1,31.0,2.0,8.0,1.0
Paul Lowe,1964,137.0,530.0,3.7,50.0,3.0,16.0,191.0,9.9,41.0,2.0,2.0,0.0
Paul Lowe,1965,234.0,1178.0,5.3,59.0,6.0,20.0,129.0,5.6,45.0,1.0,2.0,0.0
Paul Lowe,1966,146.0,643.0,4.5,57.0,3.0,12.0,41.0,2.7,11.0,0.0,3.0,0.0
Paul Lowe,1967,28.0,71.0,2.0,21.0,1.0,2.0,25.0,12.5,13.0,0.0,0.0,0.0
Paul Lowe,1968,4.0,-2.0,-0.5,9.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Paul Lowe,1969,10.0,33.0,-0.7,18.0,0.0,0.0,0.0,,,0.0,1.0,0.0
Paul Lynch,1925,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Paul Ott Carruth,1986,81.0,308.0,3.4,42.0,2.0,24.0,134.0,4.8,19.0,2.0,1.0,1.0
Paul Ott Carruth,1987,64.0,192.0,2.7,23.0,3.0,10.0,78.0,7.7,19.0,1.0,0.0,0.0
Paul Ott Carruth,1988,49.0,114.0,2.5,14.0,0.0,24.0,211.0,9.7,31.0,0.0,4.0,3.0
Paul Ott Carruth,1989,0.0,0.0,,,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0
Paul Palmer,1987,24.0,155.0,6.9,35.0,0.0,4.0,27.0,6.5,10.0,0.0,2.0,2.0
