PLAYER,SEASON,G,GS
Mitchell Fraboni,2023,20,0
Morgan Cox,2010,19,0
Morgan Cox,2011,19,0
Morgan Cox,2012,24,0
Morgan Cox,2013,20,0
Morgan Cox,2014,11,0
Morgan Cox,2015,20,0
Morgan Cox,2016,20,0
Morgan Cox,2017,19,0
Morgan Cox,2018,20,0
Morgan Cox,2019,20,0
Morgan Cox,2020,17,0
Morgan Cox,2021,21,0
Morgan Cox,2022,20,0
Morgan Cox,2023,20,0
Nathan Hodel,2005,16,0
Nathan Hodel,2006,16,0
Nathan Hodel,2007,16,0
Nathan Hodel,2008,24,0
Nathan Hodel,2009,1,0
Nick Guess,2012,2,0
Nick Moore,2020,1,0
Nick Moore,2021,20,0
Nick Moore,2022,21,0
Nick Moore,2023,0,0
Nick Sundberg,2010,19,0
Nick Sundberg,2011,20,0
Nick Sundberg,2012,13,0
Nick Sundberg,2013,9,0
Nick Sundberg,2014,20,0
Nick Sundberg,2015,21,0
Nick Sundberg,2016,18,0
Nick Sundberg,2017,20,0
Nick Sundberg,2018,17,0
Nick Sundberg,2019,20,0
Nick Sundberg,2020,17,0
Nolan Frese,2016,20,0
Patrick Mannelly,2005,17,0
Patrick Mannelly,2006,19,0
Patrick Mannelly,2007,16,0
Patrick Mannelly,2008,18,0
Patrick Mannelly,2009,18,0
Patrick Mannelly,2010,21,0
Patrick Mannelly,2011,13,0
Patrick Mannelly,2012,20,0
Patrick Mannelly,2013,15,0
Patrick Scales,2014,4,0
Patrick Scales,2015,8,0
Patrick Scales,2016,20,0
Patrick Scales,2017,3,0
Patrick Scales,2018,21,0
Patrick Scales,2019,20,0
Patrick Scales,2020,17,0
Patrick Scales,2021,20,0
Patrick Scales,2022,20,0
Patrick Scales,2023,20,0
Reid Ferguson,2016,3,0
Reid Ferguson,2017,21,0
Reid Ferguson,2018,20,0
Reid Ferguson,2019,21,0
Reid Ferguson,2020,19,0
Reid Ferguson,2021,21,0
Reid Ferguson,2022,21,0
Reid Ferguson,2023,22,0
Rick Lovato,2015,6,0
Rick Lovato,2016,9,0
Rick Lovato,2017,23,0
Rick Lovato,2018,22,0
Rick Lovato,2019,21,0
Rick Lovato,2020,16,0
Rick Lovato,2021,21,0
Rick Lovato,2022,23,0
Rick Lovato,2023,21,0
Rob Davis,2005,16,0
Rob Davis,2006,16,0
Rob Davis,2007,18,0
Ross Matiscik,2020,16,0
Ross Matiscik,2021,20,0
Ross Matiscik,2022,23,0
Ross Matiscik,2023,18,0
Ryan DiSalvo,2017,3,0
Ryan Kuehl,2005,17,0
Ryan Kuehl,2006,17,0
Ryan Neill,2008,20,0
Ryan Neill,2009,11,0
Ryan Neill,2010,2,0
Ryan Pontbriand,2005,11,0
Ryan Pontbriand,2006,16,0
Ryan Pontbriand,2007,16,0
Ryan Pontbriand,2008,20,0
Ryan Pontbriand,2009,19,0
Ryan Pontbriand,2010,20,0
Ryan Pontbriand,2011,15,0
