PLAYER,TOTAL,SOLO,AST,SCK,SFTY,PDEF,INT,YDS,AVG,LNG,TDS,FF,FR
Ed Grimsley,25.0,24.0,0.0,1.0,0.0,5.0,0.0,0.0,,,0.0,1.0,1.0
Ed Harmon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Hawthorne,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Hayes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0
Ed Henke,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,12.0
Ed Holler,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0
Ed Hughes,1.0,1.0,0.0,0.0,0.0,1.0,4.0,62.0,15.5,38.0,0.0,0.0,3.0
Ed Husmann,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.0
Ed Jasper,116.0,79.0,26.0,8.0,0.0,3.0,0.0,0.0,,,0.0,3.0,0.0
Ed Johns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Johnson,95.0,43.0,27.0,1.0,0.0,3.0,1.0,5.0,5.0,5.0,0.0,1.0,0.0
Ed Jones,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,4.3,13.0,0.0,0.0,1.0
Ed Judie,126.0,100.0,9.0,2.0,0.0,4.0,0.0,0.0,,,0.0,0.0,4.0
Ed Kallina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Keenan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Kelley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Khayat,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
Ed Kissell,0.0,0.0,0.0,0.0,0.0,0.0,6.0,86.0,10.8,37.0,0.0,0.0,0.0
Ed Koontz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Lechner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Lothamer,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Lynch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed McAleney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed McCrillis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed McDaniel,857.0,584.0,214.0,19.5,0.0,22.0,4.0,21.0,5.2,18.0,0.0,15.0,6.0
Ed McQuarters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Meador,9.0,7.0,0.0,0.0,0.0,1.0,47.0,562.0,12.2,38.0,5.0,0.0,18.0
Ed Meadows,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,4.0
Ed Meixler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Merkle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Merlin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Mooney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3.0
Ed Neal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0
Ed Nelson,150.0,108.0,21.0,16.0,0.0,0.0,0.0,0.0,,,0.0,1.0,4.0
Ed Nickla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Oliver,230.0,114.0,86.0,26.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0
Ed Philion,11.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Philpott,0.0,0.0,0.0,0.0,0.0,0.0,9.0,91.0,9.7,23.0,0.0,0.0,10.0
Ed Pine,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,5.7,13.0,0.0,0.0,2.0
Ed Reed,732.0,510.0,130.0,6.0,1.0,164.0,76.0,1807.0,23.0,107.0,8.0,11.0,11.0
Ed Reynolds,54.0,38.0,15.0,1.0,0.0,3.0,1.0,90.0,90.0,90.0,1.0,0.0,0.0
Ed Robinson,17.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Royston,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0
Ed Ryan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Salem,0.0,0.0,0.0,0.0,0.0,0.0,5.0,26.0,4.7,21.0,0.0,0.0,0.0
Ed Sauer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Scott,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Ed Scrutchins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ed Seibert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
