PLAYER,PUNTS,YDS,NETYDS,LNG,AVG,NETAVG,BLK,OOB,DN,IN20,TB,FC,RET,RETY,TD
Eddie Hare,84.0,3038.0,2501.0,58.0,36.0,28.6,1.0,13.0,14.0,20.0,11.0,17.0,28.0,317.0,1.0
Eddie Howard,9.0,324.0,295.0,45.0,35.9,33.0,0.0,2.0,1.0,2.0,1.0,3.0,2.0,9.0,0.0
Eddie Johnson,57.0,2191.0,1858.0,55.0,38.3,32.8,1.0,4.0,6.0,12.0,5.0,16.0,25.0,233.0,0.0
Ethan Evans,85.0,4211.0,3272.0,72.0,48.2,38.0,1.0,9.0,6.0,28.0,12.0,15.0,42.0,699.0,3.0
Evan Arapostathis,30.0,1140.0,974.0,50.0,37.2,32.3,0.0,6.0,2.0,5.0,0.0,2.0,20.0,166.0,0.0
Filip Filipovic,66.0,2640.0,2082.0,60.0,40.5,31.8,1.0,5.0,10.0,14.0,6.0,12.0,32.0,438.0,0.0
Frank Lambert,157.0,6802.0,5923.0,69.0,43.8,38.4,1.0,8.0,25.0,0.0,10.0,26.0,86.0,679.0,2.0
Gabe Lindstrom,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Roberts,330.0,13365.0,11367.0,71.0,41.0,34.7,4.0,41.0,38.0,74.0,41.0,44.0,162.0,1178.0,0.0
George Winslow,34.0,1211.0,1070.0,50.0,37.2,31.0,0.0,2.0,6.0,9.0,3.0,10.0,13.0,81.0,0.0
Glen Walker,172.0,6144.0,5476.0,61.0,36.7,33.1,3.0,22.0,23.0,40.0,13.0,36.0,75.0,408.0,1.0
Glenn Pakulak,55.0,2435.0,2079.0,71.0,44.8,38.2,0.0,3.0,9.0,10.0,3.0,3.0,37.0,296.0,0.0
Greg Cater,393.0,15173.0,13015.0,71.0,39.0,33.6,3.0,44.0,51.0,91.0,44.0,83.0,168.0,1278.0,1.0
Greg Coleman,843.0,34020.0,28500.0,73.0,40.6,33.7,4.0,132.0,107.0,189.0,65.0,78.0,457.0,4220.0,5.0
Greg Gantt,137.0,4845.0,3925.0,71.0,35.4,29.5,3.0,25.0,17.0,0.0,18.0,22.0,49.0,560.0,1.0
Greg Horne,123.0,4958.0,3985.0,66.0,39.9,32.4,1.0,17.0,11.0,22.0,16.0,12.0,66.0,653.0,1.0
Greg Montgomery,569.0,24272.0,20554.0,77.0,43.3,36.6,10.0,60.0,79.0,144.0,54.0,62.0,304.0,2638.0,3.0
Hal Roberts,88.0,3386.0,2705.0,57.0,38.9,31.4,0.0,9.0,10.0,3.0,8.0,4.0,57.0,521.0,1.0
