PLAYER,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
Jason Gesser,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Jay Barker,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Jay Cutler,3273.0,5296.0,37895.0,7.2,240.0,168.0,353.0,2233.0,85.7,415.0,1867.0,4.7,12.0,101.0,39.0
Jay Fiedler,1067.0,1827.0,12499.0,6.7,72.0,74.0,121.0,772.0,77.5,232.0,925.0,4.0,11.0,30.0,16.0
Jay Hornbeak,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1.0,6.0,6.0,0.0,0.0,0.0
Jay Schroeder,1498.0,2966.0,20854.0,7.0,119.0,116.0,219.0,1694.0,70.8,254.0,800.0,3.5,5.0,67.0,28.0
Jay Venuto,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Jay Walker,2.0,2.0,31.0,15.5,0.0,0.0,0.0,0.0,118.8,0.0,0.0,,0.0,0.0,0.0
Jeb Blount,37.0,89.0,522.0,5.3,0.0,7.0,18.0,164.0,38.1,5.0,26.0,4.9,0.0,2.0,0.0
Jeff Baker,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Jeff Blake,1827.0,3241.0,21711.0,6.6,134.0,99.0,248.0,1550.0,77.6,418.0,2027.0,4.8,14.0,68.0,35.0
Jeff Brohm,37.0,58.0,353.0,4.6,1.0,1.0,7.0,47.0,65.0,20.0,54.0,2.1,0.0,4.0,1.0
Jeff Carlson,49.0,114.0,636.0,6.0,2.0,9.0,14.0,94.0,47.9,17.0,57.0,3.5,0.0,5.0,2.0
Jeff Christensen,24.0,58.0,297.0,6.7,1.0,3.0,5.0,37.0,65.1,12.0,39.0,1.4,0.0,3.0,1.0
Jeff Driskel,330.0,566.0,3472.0,6.2,22.0,17.0,54.0,373.0,80.5,119.0,690.0,6.0,4.0,6.0,1.0
Jeff Fox,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
Jeff Francis,2.0,2.0,26.0,13.0,0.0,0.0,0.0,0.0,118.8,0.0,0.0,,0.0,0.0,0.0
Jeff Garcia,2407.0,3923.0,27003.0,6.8,169.0,93.0,191.0,1016.0,84.8,488.0,2240.0,4.6,27.0,65.0,24.0
Jeff George,2369.0,4096.0,28603.0,6.9,163.0,116.0,368.0,2766.0,79.0,172.0,314.0,2.3,2.0,70.0,30.0
Jeff Hostetler,1429.0,2453.0,17464.0,7.2,101.0,71.0,218.0,1211.0,82.8,340.0,1489.0,4.4,18.0,51.0,22.0
Jeff Kelly,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
