PLAYER,REC,YDS,AVG,LNG,TD,ATT,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
Ron Dixon,44.0,826.0,17.3,62.0,4.0,3.0,13.0,4.3,12.0,0.0,4.0,4.0
Ron Dugans,89.0,797.0,8.7,31.0,3.0,0.0,0.0,,,0.0,0.0,0.0
Ron Duncan,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Ron Egloff,77.0,872.0,12.1,40.0,4.0,0.0,0.0,,,0.0,2.0,1.0
Ron Fazio,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Ron Goodwin,78.0,1079.0,14.9,44.0,9.0,2.0,-22.0,-11.0,1.0,0.0,0.0,0.0
Ron Green,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Ron Hall,230.0,2609.0,11.5,54.0,10.0,0.0,0.0,,,0.0,2.0,1.0
Ron Heller,84.0,871.0,10.5,39.0,5.0,0.0,0.0,,,0.0,2.0,2.0
Ron Holliday,14.0,182.0,13.4,36.0,0.0,6.0,70.0,13.0,22.0,0.0,1.0,0.0
Ron Howard,72.0,850.0,12.1,42.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
Ron Jessie,286.0,4604.0,16.4,84.0,27.0,20.0,94.0,4.9,22.0,2.0,10.0,0.0
Ron Jones,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Ron Kramer,203.0,2985.0,15.3,68.0,18.0,6.0,9.0,1.5,10.0,0.0,2.0,0.0
Ron LaPointe,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Ron Leshinski,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Ron Mayo,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Ron Middleton,47.0,306.0,6.5,19.0,4.0,0.0,0.0,,,0.0,0.0,0.0
Ron Morris,129.0,2142.0,17.6,67.0,10.0,6.0,52.0,8.7,21.0,0.0,1.0,0.0
Ron Sellers,116.0,2234.0,18.9,77.0,19.0,0.0,0.0,,,0.0,2.0,0.0
Ron Shanklin,174.0,3198.0,19.9,81.0,24.0,5.0,2.0,-0.5,10.0,0.0,3.0,0.0
Ron Wetzel,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Ron Wheeler,3.0,61.0,20.3,29.0,0.0,0.0,0.0,,,0.0,1.0,1.0
Ronald Bellamy,1.0,8.0,8.0,8.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ronald Curry,197.0,2382.0,11.7,63.0,13.0,5.0,3.0,0.6,4.0,0.0,2.0,0.0
Ronald Johnson,1.0,8.0,8.0,8.0,0.0,0.0,0.0,,,0.0,2.0,1.0
Rondale Moore,149.0,1291.0,9.3,77.0,3.0,56.0,277.0,4.2,45.0,1.0,4.0,1.0
Ronnie Anderson,1.0,8.0,8.0,8.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ronnie Bell,16.0,240.0,13.1,43.0,3.0,1.0,15.0,15.0,15.0,0.0,2.0,0.0
Ronnie Ghent,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ronnie Haliburton,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Ronnie Harris,28.0,465.0,17.0,34.0,0.0,0.0,0.0,,,0.0,13.0,7.0
Ronnie Lee,27.0,179.0,6.3,41.0,4.0,0.0,0.0,,,0.0,1.0,0.0
Ronnie Powell,1.0,45.0,45.0,45.0,0.0,1.0,-14.0,-14.0,-14.0,0.0,3.0,3.0
Ronnie West,0.0,0.0,,,0.0,0.0,0.0,,,0.0,1.0,0.0
Ronnie Williams,11.0,80.0,7.3,17.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Ross Dwelley,60.0,731.0,13.4,56.0,5.0,0.0,0.0,,,0.0,0.0,0.0
Ross Travis,36.0,370.0,9.5,39.0,2.0,0.0,0.0,,,0.0,2.0,1.0
Roy Banks,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Roy Carlson,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Roy Curry,1.0,31.0,31.0,31.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Roy Green,569.0,9092.0,16.3,83.0,66.0,24.0,144.0,6.1,44.0,1.0,18.0,8.0
Roy Guffey,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Roy Hall,7.0,60.0,8.9,15.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Roy Jefferson,481.0,7974.0,17.2,84.0,56.0,29.0,180.0,6.3,24.0,0.0,18.0,0.0
Roy Kurrasch,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Roy Reeves,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Roy Williams,457.0,6527.0,13.6,91.0,48.0,7.0,30.0,4.3,13.0,0.0,9.0,7.0
Roydell Williams,98.0,1312.0,13.5,50.0,6.0,2.0,-17.0,-8.5,-6.0,0.0,0.0,0.0
Rube Marquardt,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Rudy Kutler,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Rudy Smeja,11.0,166.0,15.3,19.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Rudy Sylvan,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Rueben Randle,207.0,2891.0,14.6,72.0,22.0,0.0,0.0,,,0.0,4.0,1.0
Rufus French,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Russ Campbell,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Russ Francis,450.0,5938.0,13.2,53.0,43.0,2.0,12.0,6.0,8.0,0.0,10.0,5.0
Russ Mikeska,6.0,53.0,9.0,14.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Russell Copeland,123.0,1692.0,14.1,77.0,2.0,3.0,-12.0,-4.0,-1.0,0.0,7.0,3.0
Russell Evans,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Russell Gage,254.0,2602.0,10.5,49.0,14.0,6.0,21.0,3.5,11.0,0.0,4.0,4.0
Russell Hairston,2.0,16.0,8.0,11.0,1.0,0.0,0.0,,,0.0,1.0,1.0
Russell Shepard,79.0,1195.0,14.6,51.0,9.0,5.0,46.0,9.2,12.0,0.0,1.0,0.0
Russell Stewart,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Ruvell Martin,106.0,1425.0,13.0,61.0,7.0,0.0,0.0,,,0.0,3.0,1.0
Ryan Becker,1.0,8.0,8.0,8.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ryan Broyles,52.0,692.0,12.4,40.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Ryan Collins,8.0,124.0,17.4,28.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ryan Grant,161.0,1796.0,11.1,40.0,11.0,0.0,0.0,,,0.0,0.0,0.0
Ryan Hannam,26.0,235.0,9.2,36.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Ryan Hewitt,32.0,296.0,8.8,22.0,2.0,2.0,1.0,0.5,1.0,0.0,0.0,0.0
Ryan Hoag,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Ryan Izzo,25.0,372.0,15.7,50.0,1.0,0.0,0.0,,,0.0,1.0,1.0
Ryan Krause,7.0,92.0,10.8,29.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Ryan Mahaffey,0.0,0.0,,,0.0,2.0,9.0,4.5,5.0,0.0,0.0,0.0
Ryan Malleck,2.0,13.0,6.5,10.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ryan Neufeld,10.0,111.0,11.6,29.0,0.0,1.0,14.0,14.0,14.0,0.0,0.0,0.0
Ryan Prince,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Ryan Purvis,17.0,200.0,11.9,25.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Ryan Spadola,26.0,432.0,17.7,70.0,2.0,0.0,0.0,,,0.0,2.0,2.0
Ryan Switzer,56.0,354.0,5.7,24.0,3.0,10.0,26.0,2.6,8.0,0.0,4.0,1.0
Ryan Taylor,27.0,262.0,10.3,24.0,2.0,0.0,0.0,,,0.0,1.0,0.0
Ryan Thelwell,16.0,268.0,18.2,55.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Ryan Wetnight,180.0,1581.0,9.1,38.0,9.0,0.0,0.0,,,0.0,2.0,1.0
Ryan Whalen,27.0,237.0,8.3,24.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Ryan Yarborough,44.0,494.0,10.4,38.0,3.0,0.0,0.0,,,0.0,3.0,3.0
Ryne Robinson,4.0,35.0,8.3,12.0,0.0,0.0,0.0,,,0.0,2.0,2.0
Rysen John,6.0,72.0,12.0,29.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Saalim Hakim,3.0,76.0,25.3,53.0,0.0,2.0,-3.0,-1.5,8.0,0.0,0.0,0.0
Saeed Blacknall,6.0,118.0,19.8,45.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Sage Surratt,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Saint Saffold,16.0,172.0,9.9,25.0,0.0,1.0,21.0,21.0,21.0,0.0,1.0,0.0
Sam Aiken,61.0,816.0,13.8,81.0,3.0,0.0,0.0,,,0.0,0.0,0.0
Sam Bowers,1.0,6.0,6.0,6.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Sam Boyd,21.0,423.0,20.0,57.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Sam Busich,19.0,193.0,9.8,26.0,1.0,0.0,0.0,,,0.0,0.0,0.0
Sam Fox,10.0,120.0,13.0,28.0,2.0,0.0,0.0,,,0.0,0.0,0.0
Sam Goldman,18.0,184.0,9.9,27.0,0.0,2.0,-3.0,-1.5,-1.0,0.0,2.0,0.0
Sam Graddy,18.0,477.0,29.8,80.0,3.0,0.0,0.0,,,0.0,1.0,1.0
Sam Gray,1.0,20.0,20.0,20.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Sam Havrilak,33.0,571.0,16.4,62.0,4.0,12.0,72.0,5.6,32.0,2.0,0.0,0.0
Sam Hipa,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Sam Hurd,79.0,1076.0,14.1,53.0,3.0,1.0,35.0,35.0,35.0,0.0,1.0,0.0
Sam Longmire,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Sam McCullum,281.0,4131.0,14.6,72.0,27.0,0.0,0.0,,,0.0,8.0,0.0
Sam Seale,0.0,0.0,,,0.0,0.0,0.0,,,0.0,1.0,1.0
Sam Simmons,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Sam Tamburo,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Samie Parker,110.0,1529.0,14.2,49.0,7.0,4.0,9.0,2.2,5.0,0.0,3.0,2.0
Sammie Coates,59.0,1007.0,16.6,72.0,3.0,7.0,23.0,3.1,15.0,0.0,2.0,1.0
Sammie Stroughter,78.0,864.0,11.1,35.0,4.0,1.0,2.0,2.0,2.0,0.0,3.0,2.0
Sammie Taylor,1.0,13.0,13.0,13.0,0.0,0.0,0.0,,,0.0,0.0,0.0
Sammis Reyes,3.0,27.0,7.2,21.0,0.0,0.0,0.0,,,0.0,0.0,0.0
